,Numeric code,English short name (using title case),Independent,Code,Sink OFC,Conduit OFC
207,239, South Georgia and the South Sandwich Islands,No,SGS,No,No
208,728, South Sudan,Yes,SSD,No,No
209,724, Spain,Yes,ESP,No,No
210,144, Sri Lanka,Yes,LKA,No,No
211,729, Sudan,Yes,SDN,No,No
212,740, Suriname,Yes,SUR,No,No
213,744, Svalbard and Jan Mayen,No,SJM,No,No
214,752, Sweden,Yes,SWE,No,No
215,756, Switzerland,Yes,CHE,No,Yes
216,760, Syrian Arab Republic,Yes,SYR,No,No
217,158," Taiwan, Province of China",No,TWN,Yes,No
218,762, Tajikistan,Yes,TJK,No,No
219,834," Tanzania, United Republic of",Yes,TZA,No,No
220,764, Thailand,Yes,THA,No,No
221,626, Timor-Leste,Yes,TLS,No,No
222,768, Togo,Yes,TGO,No,No
223,772, Tokelau,No,TKL,No,No
224,776, Tonga,Yes,TON,Yes,No
225,780, Trinidad and Tobago,Yes,TTO,No,No
226,788, Tunisia,Yes,TUN,No,No
227,792, Turkey,Yes,TUR,No,No
228,795, Turkmenistan,Yes,TKM,No,No
229,796, Turks and Caicos Islands,No,TCA,Yes,No
230,798, Tuvalu,Yes,TUV,No,No
231,800, Uganda,Yes,UGA,No,No
232,804, Ukraine,Yes,UKR,No,No
233,784, United Arab Emirates,Yes,ARE,No,No
234,826, United Kingdom of Great Britain and Northern Ireland,Yes,GBR,No,Yes
235,840, United States of America,Yes,USA,No,No
236,581, United States Minor Outlying Islands,No,UMI,No,No
237,858, Uruguay,Yes,URY,No,No
238,860, Uzbekistan,Yes,UZB,No,No
239,548, Vanuatu,Yes,VUT,Yes,No
240,862, Venezuela (Bolivarian Republic of),Yes,VEN,No,No
241,704, Viet Nam,Yes,VNM,No,No
242,92, Virgin Islands (British),No,VGB,Yes,No
243,850, Virgin Islands (U.S.),No,VIR,No,No
244,876, Wallis and Futuna,No,WLF,No,No
245,732, Western Sahara,No,ESH,No,No
246,887, Yemen,Yes,YEM,No,No
247,894, Zambia,Yes,ZMB,No,No
248,716, Zimbabwe,Yes,ZWE,No,No
